gbifid,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,decimallatitude,decimallongitude,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,location,address.17
2305855928,KU747957,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma eijii,,SPECIES,Trichoderma eijii Chang S.Kim & N.Maek.,Trichoderma sp.,,MX,Mexico:Los Tuxtlas Biological Station,,PRESENT,,18.57,-95.07,,,,,40374,15,7,2010,7504216,7504216,MATERIAL_SAMPLE,,,,,,,CC_BY_4_0,,M. Del Olmo-Ruiz,,,44285.26554,"18.57, -95.07",Veracruz
2305896437,MH237602,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Lennoa,Lennoa madreporoides,,SPECIES,Lennoa madreporoides Lex.,Lennoa madreporoides,,MX,Mexico:Puebla,,PRESENT,,18.53,-98.42,,,,,30674,24,12,1983,7395848,7395848,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,George Yatskievych et al. 83-370,,,44285.2659,"18.53, -98.42",Puebla
2306079596,MG521489,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Echeveria,Echeveria simulans,,SPECIES,Echeveria simulans Rose,Echeveria simulans,,MX,"Mexico:Nuevo Leon, 1.5 km E de Iturbide, Carr. Matehuala-Linares, Iturbide",,PRESENT,,24.73,-99.89,,,,,,,,,4198257,4198257,PRESERVED_SPECIMEN,,,,,Jeronimo Reyes Santiago,,CC_BY_4_0,,Jeronimo Reyes Santiago,,,44285.26554,"24.73, -99.89",Nuevo León
2306091042,JX216674,Animalia,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,Lecane cornuta,,SPECIES,"Lecane cornuta (Müller, 1786)",Lecane cornuta,,MX,"Mexico:Chiapas, Parque Los Humedales charco 5",,PRESENT,,16.71,-92.62,,,,,40150,3,12,2009,1002449,1002449,PRESERVED_SPECIMEN,,,,,Alma E. Garcia,,CC_BY_4_0,,Alma E.Garcia,,,44285.26555,"16.71, -92.62",Chiapas
2306168164,GU224384,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx,Caranx crysos,,SPECIES,"Caranx crysos (Mitchill, 1815)",Caranx crysos,,MX,"Mexico:Quintana Roo, Xcalak",,PRESENT,,18.27,-87.83,,,,,38569,5,8,2005,2390762,2390762,PRESERVED_SPECIMEN,,,,,Martha Valdez,,CC_BY_4_0,,Lourdes Vasquez,,,44285.26593,"18.27, -87.83",Quintana Roo
2306181196,KC152162,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pachyphlodes,Pachyphlodes carnea,,SPECIES,Pachyphlodes carnea (Harkn.) Doweld,Pachyphlodes aff. carneus GO-2008-126,,MX,"Mexico:Michoacan, Morelia, Carretera Morelia-Atecuaro",,PRESENT,,19.61,-101.19,,,,,39683,23,8,2008,8416021,8416021,PRESERVED_SPECIMEN,,,,,Carolina Pina-Paez,,CC_BY_4_0,,Roberto Garibay Orijel,,,44285.26593,"19.61, -101.19",Michoacán
2306200581,GU659955,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblis,,,GENUS,"Biblis Fabricius, 1807",Biblis sp. hyperiaECO02,,MX,"Mexico:Campeche, Ejido Conhuas: camino a la zona arqueologica Nadzcaan",,PRESENT,,18.61,-89.85,,,,,38126,19,5,2004,1904817,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,Alejandro Tuz,,,44285.26593,"18.61, -89.85",Campeche
2306262240,HM434417,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Heterospilus,,,GENUS,"Heterospilus Haliday, 1836",Heterospilus sp. BOLD:AAI1751,,MX,"Mexico:Jalisco, La Huerta, Costa Sur, Chamela, Fundacion Cuixmala, El sendero",,PRESENT,,19.42,-104.97,,,,,40063,7,9,2009,1272344,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"H. Clebsch, A. Zaldivar",,,44285.26555,"19.42, -104.97",Jalisco
2306375407,KX953510,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,,,GENUS,"Fusarium Link, 1809",Fusarium sp.,,MX,"Mexico:Predio 20 Soles, Papantla de Olarte, Veracruz",,PRESENT,,20.43,-97.31,193,,,,41365,1,4,2013,2554026,,MATERIAL_SAMPLE,,,,,,,CC_BY_4_0,,Ma. del Carmen A. Gonzalez Chavez and Rogelio Carrillo,,,44285.26593,"20.43, -97.31",Veracruz
2306457424,JX216629,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Keratella americana,,SPECIES,"Keratella americana Carlin, 1943",Keratella americana,,MX,"Mexico:Quintana Roo, Laguna Negra vertical, Subteniente Lopez",,PRESENT,,18.5,-88.39,,,,,40793,7,9,2011,1002610,1002610,PRESERVED_SPECIMEN,,,,,Alma E. Garcia,,CC_BY_4_0,,Manuel Elias-Gutierrez & Alma E. Garcia,,,44285.26555,"18.5, -88.39",Quintana Roo
2306488295,JF491885,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,Oryzomys couesi,,SPECIES,"Oryzomys couesi (Alston, 1877)",Oryzomys couesi,,MX,"Mexico:Yucatan, Laguna Becanchen",,PRESENT,,19.88,-89.3,,,,,32676,17,6,1989,2438070,2438070,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"Engstrom, MD, Dowler, RC",,,44285.26593,"19.88, -89.3",Yucatán
2306601630,DQ433076,Animalia,Chordata,Aves,Passeriformes,Ptilogonatidae,Phainopepla,Phainopepla nitens,,SPECIES,"Phainopepla nitens (Swainson, 1838)",Phainopepla nitens,,MX,Mexico:San Luis Potosi,,PRESENT,,22.09,-100.58,,,,,,,,,2492885,2492885,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26595,"22.09, -100.58",San Luis Potosí
2306628785,GU658831,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Taygetis,Taygetis virgilia,,SPECIES,"Taygetis virgilia Cramer, 1779",Taygetis virgilia,,MX,"Mexico:Quintana Roo, Ejido X-maben: camino a Noh-cancab",,PRESENT,,19.86,-88,,,,,38381,29,1,2005,1908199,1908199,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,Arsenio Xool,,,44285.26556,"19.86, -88.0",Quintana Roo
2306779418,KC157298,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus durangensis,,SPECIES,Pinus durangensis Martínez,Pinus durangensis,,MX,"Mexico:Jalisco, Mezquitic, Between Bolanos and Mezquitic",,PRESENT,,22.08,-103.9,,,,,38990,30,9,2006,5285224,5285224,PRESERVED_SPECIMEN,,,,,David S. Gernandt,,CC_BY_4_0,,"David Sebastian Gernandt, Jorge Alberto Perez de la Rosa & Georgina Vargas Amado",,,44285.26595,"22.08, -103.9",Jalisco
2306793629,KP972300,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Florestina,Florestina purpurea,,SPECIES,Florestina purpurea (Brandegee) Rydb.,Florestina purpurea,,MX,Mexico,,PRESENT,,18.18,-97.48,,,,,,,,,3139612,3139612,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26596,"18.18, -97.48",Puebla
2306843308,GU660595,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Aphrissa,Aphrissa statira,statira,SUBSPECIES,Aphrissa statira statira,Aphrissa statira statira,,MX,Mexico,,PRESENT,,18.61,-89.85,,,,,37446,9,7,2002,7259569,1920571,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,Noemi Salas,,,44285.26597,"18.61, -89.85",Campeche
2307123180,FJ456310,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Melampodium,Melampodium cinereum,hirtellum,VARIETY,Melampodium cinereum var. hirtellum Stuessy,Melampodium cinereum var. hirtellum,,MX,Mexico,,PRESENT,,28.19,-101.07,,,,,,,,,4231943,3138974,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.26557,"28.19, -101.07",Coahuila
2307353770,GU225602,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,Eucinostomus gula,,SPECIES,"Eucinostomus gula (Quoy & Gaimard, 1824)",Eucinostomus gula,,MX,"Mexico:Yucatan, Celestun 2",,PRESENT,,20.82,-90.39,,,,,,,,,2369471,2369471,PRESERVED_SPECIMEN,,,,,Mirella Hernandez,,CC_BY_4_0,,"D. Arceo, A. Acosta, A. Caballero. J. Sandoval, W. Canto",,,44285.26557,"20.82, -90.39",Campeche
2307366488,KY131451,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia polycarpa,polycarpa,VARIETY,Euphorbia polycarpa var. polycarpa,Euphorbia polycarpa var. polycarpa,,MX,"Mexico:La Paz, BCS",,PRESENT,,23.4,-110.21,,,,,39448,1,1,2008,7548087,3066816,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,V.W. Steinmann,,,44285.26599,"23.4, -110.21",Baja California Sur
2307466199,JN281903,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,,,,FAMILY,Braconidae,Microgastrinae sp. Micro0391,,MX,"Mexico:Jalisco, La Huerta, Costa Sur, Bioestacion Chamela, Camino Buho, Chachalaca",,PRESENT,,19.5,-105.04,,,,,40265,28,3,2010,6910,,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,"Alejandro Zaldivar, Valeria Salinas",,,44285.2656,"19.5, -105.04",Jalisco
2307498905,KF753039,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes chrysogenys,,SPECIES,"Melanerpes chrysogenys (Vigors, 1839)",Melanerpes chrysogenys,,MX,"Mexico:Tecomate, Guerrero",,PRESENT,,16.8,-99.46,,,,,,,,,2478102,2478102,PRESERVED_SPECIMEN,,,,,,,CC_BY_4_0,,,,,44285.266,"16.8, -99.46",Guerrero
2307575396,GU224436,Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,Eucinostomus jonesii,,SPECIES,"Eucinostomus jonesii (Günther, 1879)",Eucinostomus jonesii,,MX,"Mexico:Quintana Roo, Xcalak",,PRESENT,,18.28,-87.83,,,,,38565,1,8,2005,2369480,2369480,PRESERVED_SPECIMEN,,,,,Lourdes Vasquez-Yeomans,,CC_BY_4_0,,Lourdes Vasquez-Yeomans & Jose Angel Cohuo,,,44285.2656,"18.28, -87.83",Quintana Roo
