edge_id,source_id,target_id,edge_type,source_path,attributes_json
edge:004898ec15eefb42,policy_indicator:8.4.1,sdg_target:8.4,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:004ce7b5d88d16b0,file:790921ce62f6e811,asdi:ASDI.28,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:00580471f5929241,file:790921ce62f6e811,asdi:ASDI.63,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:007e3020080c13cf,sdg_target:16.2,sdg:16,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:00bab9202482f6c2,file:4f7c289bfa5e3248,policy_indicator:17.6.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:010b91ca5b0f4e79,sdg_target:12.7,sdg:12,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:013873e47e63a148,sdg_target:6.6,sdg:6,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:014ccaabd3db1a6b,policy_indicator:16.10.1,sdg_target:16.10,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:016eec966103fee6,asdi:ASDI.35,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:01872c8eca1645ce,sdg_target:12.2,sdg:12,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:018938ac8f6baedc,policy_indicator:2.2.1,sdg_target:2.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:018a3ed152599e7d,file:4f7c289bfa5e3248,policy_indicator:6.2.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:01a45c220ef848d3,track:part-i,file:790921ce62f6e811,CONTAINS_FILE,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""role"":""asdi_input""}"
edge:02acdc145ecf606b,file:4f7c289bfa5e3248,policy_indicator:5.5.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:02b102025913a208,policy_indicator:9.2.2,sdg_target:9.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:02bb4a716b227cc5,track:part-i,file:a808aa331591784a,CONTAINS_FILE,Google Colab Notebooks/Neo4j_ASDI_Sustainable_Public_Policies.ipynb,"{""role"":""exploratory_notebook""}"
edge:02f2e81cacddca4f,asdi:ASDI.109,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:030a6c5231539948,file:790921ce62f6e811,asdi:ASDI.112,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:03594d7586e0f4d5,policy_indicator:16.2.3,sdg_target:16.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:036850c1dd4612c6,asdi:ASDI.141,sdg:15,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG15""}"
edge:037d960ee1d1a6af,asdi:ASDI.73,dataset_type:satellite imagery,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:03a31ed8ecd789a2,asdi:ASDI.75,dataset_type:satellite imagery,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:03a6f5db91f379eb,asdi:ASDI.124,dataset_type:oceans,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:03f4336780f73b20,sdg_target:17.8,sdg:17,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:04b8b6ca9c425373,policy_indicator:8.10.1,sdg_target:8.10,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:04c12e725b561719,sdg_target:15.3,sdg:15,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:04e82c16ea2ab4e4,sdg_target:14.4,sdg:14,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:053a19d9b3924924,asdi:ASDI.62,sdg:17,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG17""}"
edge:05ad7f3175cc133b,asdi:ASDI.140,dataset_type:biodiversity,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:061a740001143b0e,file:790921ce62f6e811,asdi:ASDI.3,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:06258ae949d2865d,file:4f7c289bfa5e3248,policy_indicator:15.5.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:06363e0e089c50fe,sdg_target:17.1,sdg:17,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:069bc419d11a550e,file:790921ce62f6e811,asdi:ASDI.81,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0703267e5470f053,asdi:ASDI.11,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:07035b34e34705e1,asdi:ASDI.23,dataset_type:weather,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0723b7eb89a3ce74,policy_indicator:10.a.1,sdg_target:10.a,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:073f8abd9c3a3fc5,policy_indicator:5.3.1,sdg_target:5.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:07572e988c62e858,policy_indicator:6.1.1,sdg_target:6.1,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:07b1efb5fc27c0ba,sdg_target:11.1,sdg:11,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:07eb863070c371ac,file:790921ce62f6e811,asdi:ASDI.80,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:082b9db689ef4155,sdg_target:16.3,sdg:16,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:083b6f6a3b4e4951,policy_indicator:7.2.1,sdg_target:7.2,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:086f2375232b7bea,asdi:ASDI.8,dataset_type:weather,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:089934c7b0946cd2,file:790921ce62f6e811,asdi:ASDI.116,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:08cb45c489b0cfec,file:790921ce62f6e811,asdi:ASDI.90,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:08f0599c3380d354,sdg_target:3.d,sdg:3,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:090582d883208bd0,file:790921ce62f6e811,asdi:ASDI.47,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:098344e5da507da2,file:790921ce62f6e811,asdi:ASDI.97,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0a41e38fd717959b,file:4f7c289bfa5e3248,policy_indicator:17.8.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:0adbd4bc9eab4286,policy_indicator:16.6.1,sdg_target:16.6,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:0b4c552723b98b81,asdi:ASDI.96,dataset_type:air quality,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0b87967cac9d7a61,asdi:ASDI.121,dataset_type:oceans,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0bd46f6b374accc7,sdg_target:5.2,sdg:5,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:0c4b14f63ce72170,file:4f7c289bfa5e3248,policy_indicator:17.11.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:0ce6a187afd95b59,policy_indicator:17.19.2,sdg_target:17.19,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:0cfc7d28f45f43c5,asdi:ASDI.69,sdg:17,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG17""}"
edge:0d045681e5a4ddcd,asdi:ASDI.12,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:0d4fb035f9a01744,asdi:ASDI.53,dataset_type:water,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0db1099aa9cb1673,policy_indicator:1.b.1,sdg_target:1.b,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:0deb7b996c4a2169,track:part-i,file:f165de07473407ba,CONTAINS_FILE,Public Policies Tables/40 Tabla B40.xlsx,"{""role"":""public_policy_input""}"
edge:0e0161137ee43be0,policy_indicator:16.6.2,sdg_target:16.6,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:0ea673e9f9fec887,file:4f7c289bfa5e3248,policy_indicator:8.9.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:0ebf7668047f8d4a,file:4f7c289bfa5e3248,policy_indicator:17.1.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:0f255f572196b9d4,asdi:ASDI.22,dataset_type:weather,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0fa124231f6398c9,file:790921ce62f6e811,asdi:ASDI.135,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0fbc00f20c0f5506,file:790921ce62f6e811,asdi:ASDI.120,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:0fc75c08431722e1,policy_indicator:3.4.2,sdg_target:3.4,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:10330b4987c01d1f,asdi:ASDI.65,dataset_type:satellite imagery,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:11d0920273da5e53,policy_indicator:16.4.2,sdg_target:16.4,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:11d4d4173e11e843,asdi:ASDI.131,sdg:8,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG8""}"
edge:122ef6b170a3d126,policy_indicator:9.3.2,sdg_target:9.3,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:12743c324716187b,file:790921ce62f6e811,asdi:ASDI.17,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:127c45236e42b3c6,file:790921ce62f6e811,asdi:ASDI.8,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:128a8f6a954b365d,asdi:ASDI.57,dataset_type:agriculture,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:12900c4db1291881,policy_indicator:3.5.2,sdg_target:3.5,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:12e09bcb1827c65a,asdi:ASDI.28,dataset_type:weather,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:12fb5542a40c7d0d,sdg_target:4.2,sdg:4,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:1308ebb217596af8,policy_indicator:10.7.4,sdg_target:10.7,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:1421281644ec185f,asdi:ASDI.105,sdg:7,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG7""}"
edge:142618c4e2e4b8ac,policy_indicator:1.5.4,sdg_target:1.5,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:14532df46d5dca6f,policy_indicator:16.10.2,sdg_target:16.10,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:146e5c55edd52f34,asdi:ASDI.81,dataset_type:satellite imagery,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:14718ded4b734461,policy_indicator:11.5.1,sdg_target:11.5,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:1493b755936a5c50,sdg_target:13.b,sdg:13,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:149e3bb5d16d2d10,sdg_target:6.2,sdg:6,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:14b851238bac92cd,file:4f7c289bfa5e3248,policy_indicator:2.a.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:14e147d53fcd6395,sdg_target:9.1,sdg:9,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:1504d9f4abba7515,file:790921ce62f6e811,asdi:ASDI.95,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:152b717c88d0f297,file:4f7c289bfa5e3248,policy_indicator:15.1.2,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:153c3528185f7d18,sdg_target:4.4,sdg:4,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:15522f43d32d6699,policy_indicator:16.9.1,sdg_target:16.9,MEASURES_TARGET,Public Policies Tables/01 Tabla B1.csv,{}
edge:1605d2067ba1309a,asdi:ASDI.25,sdg:13,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG13""}"
edge:161f037097e32c7c,file:790921ce62f6e811,asdi:ASDI.96,DECLARES_ASDI_DATASET,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:164c176f7ab550d9,asdi:ASDI.55,dataset_type:water,HAS_DATASET_TYPE,ASDI Tables/02 ASDI Data Set Dictionary.csv,{}
edge:1677b2c8662446ec,file:4f7c289bfa5e3248,policy_indicator:8.3.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:169b5d5d8c306837,asdi:ASDI.71,sdg:17,SUPPORTS_GOAL,ASDI Tables/02 ASDI Data Set Dictionary.csv,"{""sdg_id"":""SDG17""}"
edge:16ade563c720bae2,file:4f7c289bfa5e3248,policy_indicator:17.18.3,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
edge:16c4599757bb67c8,sdg_target:10.1,sdg:10,BELONGS_TO_GOAL,Public Policies Tables/01 Tabla B1.csv,{}
edge:16e098ebdb45bb31,file:4f7c289bfa5e3248,policy_indicator:2.1.1,DECLARES_POLICY_INDICATOR,Public Policies Tables/01 Tabla B1.csv,{}
